slug	date	len	title
flipping-herbs-herb-seeds-with-100m-for-1-hour-test-episode-4	31/12/2016	1102	Flipping Herbs/Herb Seeds With 100M for  1 Hour Test [Episode 4]
osrs-merching-worthless-to-wall-street-ep-9-best-flips-yet-5m-start-bank-was-made	20/07/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 9!! BEST FLIPS YET!!! [5M Start] Bank Was Made
osrs-merching-worthless-to-wall-street-ep-6-5-mill-start-series-wtf-gilded-legs	30/06/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 6!! [5 Mill Start Series] WTF GILDED LEGS??
osrs-merching-worthless-to-wall-street-ep-8-5-mill-start-series-omg-insane-flips	12/07/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 8!! [5 Mill Start Series] OMG INSANE FLIPS!!!
osrs-merching-worthless-to-wall-street-ep-4-5-mill-start-series-best-merch-of-the-series	18/06/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 4!! [5 Mill Start Series] BEST MERCH OF THE SERIES?
worthless-to-wall-street-ep-1-new-merching-series-5m-to	30/05/2016	1092	Worthless To Wall Street Ep 1!! New Merching Series!! 5m To ???
osrs-merching-worthless-to-wall-street-ep-7-5-mill-start-series-bank-has-been-made	07/07/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 7!! [5 Mill Start Series]  Bank Has Been Made
osrs-merching-worthless-to-wall-street-ep-5-5-mill-start-series-it-s-raining-ballistas	22/06/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 5!! [5 Mill Start Series] IT'S RAINING BALLISTAS!!
osrs-merching-worthless-to-wall-street-ep-3-5-mill-start-series-treasonous-rings-do-me-proud	14/06/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 3!! [5 Mill Start Series] Treasonous Rings Do Me PROUD!!
osrs-merching-worthless-to-wall-street-ep-2-5-mill-start-series	07/06/2016	1092	[OSRS Merching] Worthless to Wall Street Ep 2!! [5 Mill Start Series]
osrs-flipping-random-items-challenge-episode-4-let-the-random-number-generator-decide	19/12/2016	1073	[OSRS] Flipping Random Items Challenge? [Episode #4] Let the Random Number Generator Decide!
flipping-the-biggest-margins-in-old-school-runescape-with-100m-ep-3	29/12/2016	1072	Flipping THE BIGGEST MARGINS in Old School Runescape With 100M [EP 3]
1-hour-merching-with-30m-on-5-accounts-insane-results	07/11/2017	1069	1 Hour Merching With 30M ON 5 ACCOUNTS!! INSANE RESULTS
flipping-every-3rd-age-armour-afk-profit-challenge-oldschool-2007-runescape	21/11/2017	1066	FLIPPING EVERY 3RD AGE ARMOUR! AFK Profit?! (CHALLENGE!) - Oldschool 2007 Runescape
osrs-flipping-items-from-the-youtube-comment-section-episode-29-a-one-hour-flipping-challenge	07/04/2017	1058	[OSRS] Flipping Items From the Youtube Comment Section! [Episode #29] A One Hour Flipping Challenge
i-made-1-6m-in-3-minutes-using-this-method-old-school-runescape	30/11/2017	1037	I MADE 1.6M IN 3 MINUTES USING THIS METHOD!! [Old School Runescape]
osrs-bond-in-6-hours-on-a-new-p2p-account-oldschool-runescape-money-making-guide	03/03/2017	1029	[OSRS] Bond in 6 Hours on a New P2P Account - Oldschool Runescape Money Making Guide
1-hour-of-flipping-200m-start-feat-ge-tracker-ge-hacks-oldschool-2007-runescape	15/11/2017	1019	1 Hour of FLIPPING 200m START! feat. GE TRACKER! GE HACKS?! - Oldschool 2007 Runescape
low-risk-items-that-i-think-have-potential-to-make-bank	04/10/2017	1004	Low Risk Items That I Think Have Potential To Make BANK
noob-with-a-mill-episode-7-old-school-runescape	25/02/2017	989	Noob With A MILL Episode 7 [Old School Runescape]
noob-with-a-mill-episode-8-old-school-runescape	03/03/2017	989	Noob With A MILL Episode 8 [Old School Runescape]
noob-with-a-mill-episode-5-grinding-like-no-other	11/02/2017	989	Noob With A MILL Episode 5 Grinding Like No Other
noob-with-a-mill-episode-2-massive-gains-have-been-made	16/01/2017	989	Noob With A Mill [Episode 2] MASSIVE GAINS Have been made!
noob-with-a-mill-3-odium-maledictions-wards-everywhere	25/01/2017	989	Noob With A Mill #3 Odium + Maledictions Wards EVERYWHERE
making-money-like-it-s-nothing-noob-with-a-mill-ep-4	02/02/2017	989	Making Money Like It's Nothing [Noob With A Mill Ep.4]
noob-with-a-mill-episode-9-old-school-runescape	09/03/2017	989	Noob With A Mill Episode 9 [Old School Runescape]
noob-with-a-mill-episode-10-old-school-runescape	19/03/2017	989	Noob With A Mill Episode 10 [Old School Runescape
noob-with-a-mill-episode-6	16/02/2017	989	Noob With A Mill Episode 6
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-20-a-third-of-the-way-there	16/10/2016	971	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #20 - A THIRD OF THE WAY THERE!!!
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-16-gloves-of-darkness-are-insane	27/09/2016	968	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #16 - GLOVES OF DARKNESS ARE INSANE!
do-trillionaires-exist-in-runescape-3-possible-runescape-trillionaires-that-may-have-existed	24/01/2018	966	Do Trillionaires Exist In Runescape? - 3 Possible Runescape Trillionaires that May Have Existed!
150-kills-later-noob-with-a-mill-episode-20	25/05/2017	960	150 Kills Later [Noob With A Mill Episode 20]
first-big-investment-on-this-account-noob-with-a-mill-ep-21	03/06/2017	960	First BIG INVESTMENT On This Account [Noob With A Mill Ep 21]
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-21-4m-profit-flipping-ankou-socks	19/10/2016	946	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #21 - 4M PROFIT FLIPPING ANKOU SOCKS
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-5-decanting-potions	05/07/2016	944	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #5 - DECANTING POTIONS!!
most-luck-i-have-had-on-this-account-yet-noob-with-a-mill-episode-12	01/04/2017	938	Most Luck I Have Had On This Account Yet!! [Noob With A Mill Episode 12]
osrs-bond-in-13-hours-on-a-new-f2p-account-oldschool-runescape-money-making-guide	03/06/2017	928	[OSRS] Bond in 13 Hours on a New F2P Account - Oldschool Runescape Money Making Guide
this-almost-isn-t-even-fair-noob-with-a-mill-ep-16	29/04/2017	923	This Almost Isn't Even Fair [Noob With A Mill Ep 16]
getting-our-first-99-and-finally-getting-drops-noob-with-a-mill-ep-18	13/05/2017	923	Getting Our First 99 And Finally Getting Drops! [Noob With A Mill Ep 18]
biggest-investment-yet-pays-off-noob-with-a-mill-episode-11	25/03/2017	923	Biggest Investment Yet Pays Off!! [Noob With A Mill Episode 11]
finally-got-the-task-i-ve-been-waiting-for-noob-with-a-mill-ep-17	07/05/2017	923	Finally Got The Task I've Been Waiting For [Noob With A Mill Ep 17]
noob-with-a-mill-episode-19-old-school-runescape-series	19/05/2017	923	Noob With A Mill Episode 19 [Old School Runescape Series]
the-account-is-coming-along-so-well-noob-with-a-mill-episode-14	16/04/2017	923	The Account Is Coming Along So Well [Noob With A Mill Episode 14]
well-i-didn-t-expect-that-this-early-noob-with-a-mill-ep-15	22/04/2017	923	Well I Didn't Expect That This Early... [Noob With A Mill Ep 15]
investing-and-gains-noob-with-a-mill-13	08/04/2017	923	Investing And Gains [Noob With A Mill 13]
how-to-make-1m-gp-per-hour-using-high-alch-spell-old-school-runescape	20/12/2017	914	How to Make 1M+ GP Per Hour Using HIGH ALCH SPELL!! [Old School Runescape]
osrs-bond-in-11-hours-on-a-new-level-3-f2p-account-oldschool-runescape-money-making-guide	24/02/2017	913	[OSRS] Bond in 11 Hours on a New Level 3 F2P Account - Oldschool Runescape Money Making Guide
noob-with-a-mill-episode-1-money-making-clue-scrolls-and-gains	24/12/2016	911	Noob With A Mill [Episode 1] Money Making| Clue Scrolls| And GAINS
osrs-grand-exchange-only-challenge-1-money-making-skilling-and-flipping-with-the-ge-only	21/04/2017	910	[OSRS] Grand Exchange Only Challenge #1 -  Money Making , Skilling and Flipping with the GE Only!
1-hour-of-flipping-with-100m-g-e-flipping-making-bank-oldschool-2007-runescape	06/10/2017	908	1 Hour of FLIPPING with 100m! G.E Flipping, MAKING BANK?! - Oldschool 2007 Runescape
osrs-buying-from-shops-in-oldschool-runescape-for-3-hours-100-subscribers-giveaway	08/07/2016	906	[OSRS] Buying From Shops in Oldschool Runescape for 3 Hours - 100 Subscribers + Giveaway
the-best-money-making-with-no-skills-requirements-old-school-runescape	21/03/2017	898	The Best Money Making With No Skills Requirements [Old School Runescape]
osrs-flipping-the-highest-margin-items-in-f2p-ep-5-flipping-to-100m-using-f2p-items-only	13/03/2017	896	[OSRS] FLIPPING THE HIGHEST MARGIN ITEMS IN F2P - EP #5 - Flipping to 100m using F2p Items Only!
how-i-made-2m-in-2-minutes-with-a-daily-money-making-method-old-school-runescape	23/12/2017	893	How I Made 2M in 2 Minutes With A DAILY Money Making Method!! [Old School Runescape]
osrs-rings-of-nature-have-an-insane-margin-in-f2p-ep-4-flipping-to-100m-using-f2p-items-only	21/02/2017	879	[OSRS] RINGS OF NATURE HAVE AN INSANE MARGIN IN F2P - EP #4 - Flipping to 100m using F2p Items Only!
osrs-bond-in-7-hours-on-a-new-p2p-account-oldschool-runescape-money-making-guide	31/03/2017	870	[OSRS] Bond in 7 Hours on a New P2P Account - Oldschool Runescape Money Making Guide
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-8-infinitely-profiting	18/07/2016	867	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #8 - INFINITELY PROFITING!!
why-everyone-should-be-fletching-right-now-insane-rates-and-profitable	09/01/2018	860	Why Everyone Should Be Fletching RIGHT NOW | Insane Rates and PROFITABLE
how-to-actually-spin-flax-like-a-pro-215k-magic-exp-hr-70k-crafting-exp-hr-and-300k-profit-hr	13/11/2017	858	How To Actually Spin Flax LIKE A PRO! (215K Magic Exp/HR 70K Crafting Exp/HR And 300K Profit/HR)
osrs-make-550k-in-10-minutes-with-no-risk-daily-oldschool-runescape-money-malking-method	14/02/2017	856	[OSRS] Make 550k in 10 minutes with No Risk - Daily Oldschool Runescape Money Malking Method !
day-of-release-flipping-is-the-only-thing-that-keeps-me-alive-dragon-slayer-2	04/01/2018	848	Day Of Release Flipping Is The Only Thing That Keeps Me Alive [Dragon Slayer 2]
osrs-how-to-pick-profitable-items-and-flip-them-correctly-an-advanced-flipping-guide-2016	13/08/2016	842	[OSRS] HOW TO PICK PROFITABLE ITEMS AND FLIP THEM CORRECTLY - An Advanced Flipping Guide [2016]
osrs-easy-way-to-make-600k-hr-on-a-brand-new-account-oldschool-runescape-money-making-method	29/03/2017	820	[OSRS] Easy Way to Make 600k/hr On a Brand New Account - Oldschool Runescape Money Making Method
how-to-make-2m-hr-buying-supplies-from-a-shop-old-school-runescape	16/01/2018	820	How To Make 2M/HR Buying Supplies From A Shop [Old School Runescape]
fletching-money-making-guide-1400k-per-hour-money-making-episode-2	28/09/2016	817	Fletching Money Making Guide 1400k Per Hour!!! [Money Making Episode 2]
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-18-ale-of-the-gods-is-godly	07/10/2016	817	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #18 - ALE OF THE GODS IS GODLY!!
how-to-casually-merch-and-make-2m-in-a-little-over-1-hour-while-skilling-slaying	22/11/2017	815	How to Casually Merch And Make 2M In A little Over 1 HOUR While Skilling/Slaying
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-22-i-can-t-think-of-a-name	26/10/2016	814	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #22 - I CAN"T THINK OF A NAME!
osrs-insane-margins-flipping-new-raid-reward-drops-day-2-high-risk-high-reward-flipping	08/01/2017	813	[OSRS] INSANE MARGINS FLIPPING NEW RAID REWARD DROPS - Day 2 - High Risk/High Reward Flipping!
osrs-who-can-make-the-most-money-flipping-a-1-hour-flipping-challenge-with-runescapeexplamp	21/09/2016	808	[OSRS] WHO CAN MAKE THE MOST MONEY FLIPPING?? - A 1 hour flipping challenge with RunescapeEXPLamp!!
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-7-the-one-ring	15/07/2016	805	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #7 - THE ONE RING!!
osrs-make-1m-hr-with-no-requirements-oldschool-runescape-money-making-method	04/01/2017	804	[OSRS] Make 1M/hr with No Requirements - Oldschool Runescape Money Making Method!
4m-gp-hr-old-school-rs-high-req-guide-the-best-money-in-the-game-episode-9	18/12/2016	794	4M+ GP/HR Old School RS High Req Guide | The best money in the game Episode 9
i-don-t-even-know-how-i-did-this	04/11/2017	793	I Don't Even Know How I Did This...
osrs-buying-from-shops-for-1-hour-in-f2p-an-oldschool-runescape-speedrun	07/06/2016	792	[OSRS] Buying from Shops for 1 hour in F2P - An Oldschool Runescape Speedrun
osrs-flipping-all-items-from-a-5m-cash-start-episode-26-a-one-hour-flipping-challenge	07/02/2017	792	[OSRS] FLIPPING ALL ITEMS FROM A 5M CASH START [Episode #26] A One Hour Flipping Challenge
loot-from-1000-crystal-keys-2m-profit-in-80-minutes-no-requirements	12/10/2017	790	Loot From 1000 Crystal Keys (2M Profit In 80 Minutes) No Requirements
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-17-4m-in-one-flip-best-item-yet	02/10/2016	789	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #17 - 4M IN ONE FLIP, BEST ITEM YET?
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-9-cabbages-oh-no	30/07/2016	789	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #9 - CABBAGES OH NO!!
osrs-how-to-decant-potions-for-consistent-high-margin-flips-an-advanced-flipping-guide-4	22/01/2017	788	[OSRS] How to Decant Potions for Consistent High Margin Flips- An Advanced Flipping Guide #4
osrs-make-950k-in-10-minutes-buying-from-this-shop-oldschool-runescape-money-making-method	27/12/2016	787	[OSRS] Make 950k in 10 Minutes Buying From This Shop! - Oldschool Runescape Money Making Method!
low-requirement-smithing-800k-1m-per-hour-money-making-guide-pt-5	10/10/2016	786	LOW REQUIREMENT Smithing 800K-1M PER HOUR!!! [Money Making Guide Pt 5]
osrs-i-have-a-green-cash-stack-road-to-1b-from-nothing-15-oldschool-runescape-progress-video	30/12/2016	785	[OSRS] I HAVE A GREEN CASH STACK! - Road To 1B From Nothing #15 - Oldschool Runescape Progress Video
osrs-flipping-from-1gp-to-1mil-2-oldschool-runescape-flipping-challenge	15/04/2017	784	[OSRS] Flipping From 1GP to 1Mil - #2 - Oldschool Runescape Flipping Challenge
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-13-orbs-and-scimitars	20/08/2016	780	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #13 - ORBS AND SCIMITARS
flipping-to-billions-in-oldschool-runescape-50m-to-1b-episode-5-osrs	22/10/2017	775	Flipping to Billions In Oldschool Runescape (50M to 1B) Episode #5 [OSRS]
i-kept-this-method-a-secret-for-over-a-year-10m-per-day-in-20-minutes	19/08/2017	771	I Kept This Method A Secret For Over A  Year (10M+ Per Day In 20 Minutes)
osrs-how-to-flip-high-volume-items-for-easy-and-low-risk-profit-an-advanced-flipping-guide-5	12/02/2017	770	[OSRS] How to Flip High Volume Items For Easy and Low Risk Profit! - An Advanced Flipping Guide #5
10k-gp-gnome-stronghold-shops-only-challenge-1000-profit-oldschool-2007-runescape	25/09/2017	769	10k GP GNOME STRONGHOLD SHOPS ONLY(CHALLENGE)! 1000%+ PROFIT? - Oldschool 2007 Runescape
building-an-insane-100-account-flipping-farm-accounts-21-to-25-flipping-on-100-accounts-osrs	03/12/2017	760	Building an Insane 100 Account Flipping Farm! [Accounts 21 to 25] Flipping on 100 Accounts [OSRS]
1-hour-of-budget-lava-dragons-pure-profit-challenge-oldschool-2007-runescape	07/11/2017	760	1 Hour of BUDGET LAVA DRAGONS! PURE PROFIT?! (Challenge!) - Oldschool 2007 Runescape
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-15-you-don-t-need-fancy-items	18/09/2016	758	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #15 - YOU DON"T NEED FANCY ITEMS
top-10-grand-exchange-tips-and-tricks-ep-1-osrs	30/01/2018	752	Top 10 Grand Exchange Tips and Tricks! - Ep. 1 [OSRS]
osrs-profit-while-training-crafting-magic-70k-exp-hr-oldschool-runescape-money-making-method	05/02/2017	752	[OSRS ]Profit While Training Crafting + Magic (70k exp/hr)- Oldschool Runescape Money Making Method!
how-to-make-3-1m-hr-with-the-easiest-technique-in-game-a-one-hour-money-making-challenge-osrs	03/02/2018	750	How to Make 3.1M/Hr With the Easiest Technique in Game! - A One Hour Money Making Challenge! [OSRS]
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-3-crazy-price-changes	27/06/2016	749	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #3 - CRAZY PRICE CHANGES!!!
1-hour-of-wyvern-running-wtf-this-actually-makes-bank-oldschool-2007-runescape	04/10/2017	746	1 Hour of WYVERN RUNNING! WTF THIS ACTUALLY MAKES BANK?! - Oldschool 2007 Runescape
top-10-bad-habits-you-should-avoid-while-flipping-osrs	16/01/2018	746	Top 10 Bad Habits You Should Avoid While Flipping! [OSRS]
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-10-crystal-keys	02/08/2016	743	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #10 - CRYSTAL KEYS!
1-hour-of-level-3-from-scratch-f2p-edition-it-is-difficult-oldschool-2007-runescape	23/10/2017	741	1 Hour of LEVEL 3 FROM SCRATCH (F2P EDITION)! IT IS DIFFICULT...- Oldschool 2007 Runescape
6-tips-tricks-to-make-money-if-you-have-no-cash-or-no-stats	11/10/2017	739	6 Tips/Tricks To Make Money If You Have No Cash Or No Stats
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-14-emeralds-and-diamonds	31/08/2016	738	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #14 - EMERALDS AND DIAMONDS
how-i-made-230k-in-3-minutes-episode-12	04/01/2017	737	How I made 230K IN 3 MINUTES!! [Episode 12]
flipping-to-billions-in-oldschool-runescape-50m-to-1b-episode-4-osrs	19/09/2017	737	Flipping to Billions In Oldschool Runescape (50M to 1B) Episode #4 [OSRS]
1-8m-per-hour-easy-money-low-requirements-07-runescape-episode-6	21/10/2016	736	1.8M Per Hour!! Easy money, Low Requirements!! [07 Runescape] Episode 6
osrs-can-you-make-bank-flipping-random-items-episode-1-let-the-random-number-generator-decide	03/09/2016	736	[OSRS] Can You Make Bank Flipping Random Items? [Episode #1] Let the Random Number Generator Decide!
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-19-dont-flip-the-tome-of-fire	13/10/2016	734	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #19 - DONT FLIP THE TOME OF FIRE!
osrs-flipping-how-to-use-our-candlestick-charts-part-one	18/01/2017	734	[OSRS Flipping] How to use our candlestick charts - part one
i-was-given-1-gp-at-the-grand-exchange-and-this-is-what-i-did	29/05/2017	734	I Was Given 1 GP At The Grand Exchange And This Is What I Did.
1-2m-hr-money-making-guide-low-requirement-rng-heavy-method-episode-10	22/12/2016	733	1.2M/HR Money Making Guide (Low Requirement) RNG Heavy Method [Episode 10]
osrs-how-i-made-260k-in-1-hour-of-flipping-fruit-only-episode-20	04/12/2016	733	[OSRS] How I Made 260k in 1 Hour of Flipping Fruit only!  [Episode #20]
osrs-how-to-flip-from-a-1-mil-cash-start-episode-27-a-one-hour-flipping-challenge	17/03/2017	729	[OSRS] How to Flip From a 1 Mil Cash Start [Episode #27] A One Hour Flipping Challenge
osrs-how-i-made-1m-in-1-hour-of-flipping-callisto-drops-only-episode-19	28/11/2016	723	[OSRS] How I Made 1m in 1 Hour of Flipping Callisto Drops only!  [Episode #19]
osrs-flipping-all-items-from-a-10m-cash-start-episode-25-a-one-hour-flipping-challenge	28/01/2017	722	[OSRS] FLIPPING ALL ITEMS FROM A 10M CASH START [Episode #25] A One Hour Flipping Challenge
how-to-make-1m-per-hour-with-no-requirements-old-school-runescape	02/12/2017	712	How To Make 1M Per Hour With No Requirements [Old School Runescape]
osrs-how-i-made-700k-in-1-hour-of-flipping-g-e-tracker-recommended-items-only-episode-17	15/11/2016	711	[OSRS] How I Made 700k in 1 Hour of Flipping G.E Tracker Recommended Items Only!  [Episode #17]
osrs-flipping-the-top-100-most-traded-items-only-episode-30-a-one-hour-flipping-challenge	06/05/2017	710	[OSRS] Flipping the Top 100 Most Traded Items Only!  [Episode #30] A one hour flipping challenge
1-6m-hr-low-req-money-making-method-episode-11	27/12/2016	710	1.6M/HR Low Req Money Making Method!! [Episode 11]
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-12-a-little-bit-of-everything	12/08/2016	704	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #12 - A LITTLE BIT OF EVERYTHING!!
how-to-make-950k-hr-collecting-mort-myre-fungus-oldschool-runescape-money-making-guide-osrs	28/08/2017	697	How to Make 950k/hr Collecting Mort Myre Fungus! - Oldschool Runescape Money Making Guide [OSRS]
old-school-mobile-is-coming-here-is-what-you-need-to-invest-in	11/11/2017	695	Old School Mobile Is Coming! Here Is What You Need To Invest In!
osrs-how-i-made-1m-in-1-hour-of-flipping-clue-scroll-items-only-episode-23	03/01/2017	687	[OSRS] How I Made 1M in 1 Hour of Flipping Clue Scroll Items Only!  [Episode #23]
osrs-how-much-profit-from-flipping-f2p-items-only-episode-13-a-one-hour-flipping-challenge	18/10/2016	686	[OSRS] HOW MUCH PROFIT FROM FLIPPING F2P ITEMS ONLY  [Episode #13] A One Hour Flipping Challenge
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-4-some-brand-new-items	29/06/2016	686	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #4 - SOME BRAND NEW ITEMS!!
top-5-money-making-methods-for-mid-level-accounts-2-oldschool-runescape-money-making-method-osrs	12/01/2018	683	Top 5 Money Making Methods for MID Level Accounts(2) Oldschool Runescape Money Making Method [OSRS]
osrs-oldschool-runescape-flipping-in-p2p-0-100m-episode-11-3m-gains	06/08/2016	683	[OSRS] Oldschool Runescape Flipping in P2P [0 - 100M] - Episode #11 - 3M GAINS!!
best-osrs-flipping-items-easy-money	06/07/2015	679	BEST OSRS FLIPPING ITEMS! EASY MONEY!
osrs-road-to-1b-from-nothing-oldschool-runescape-progress-video-ep-4	22/10/2016	679	[OSRS] Road to 1B from nothing - Oldschool Runescape Progress Video - Ep 4
osrs-road-to-1b-from-nothing-oldschool-runescape-progress-video-ep-1	11/10/2016	678	[OSRS] Road to 1B from nothing - Oldschool Runescape Progress Video - Ep 1
flipping-with-1gp-in-f2p-is-it-even-possible-oldschool-runescape-flipping-challenge-osrs	09/06/2017	678	Flipping with 1GP in F2P, Is it Even Possible? Oldschool Runescape Flipping Challenge! [OSRS]
osrs-make-600k-over-night-at-work-every-day-easy-oldschool-runescape-money-making-guide	05/08/2017	677	OSRS- Make 600K + Over Night / At Work Every Day! EASY Oldschool Runescape Money Making Guide
flipping-items-sets-is-the-easiest-money-in-the-game-osrs-a-one-hour-flipping-challenge	12/06/2017	677	Flipping Items Sets Is the Easiest Money In the Game! [OSRS] - A one Hour Flipping Challenge
osrs-flipping-from-1gp-to-1mil-oldschool-runescape-flipping-challenge	26/03/2017	675	[OSRS] Flipping From 1GP to 1Mil - Oldschool Runescape Flipping Challenge
these-7-shops-in-osrs-can-make-you-bank-oldschool-runescape-money-making-method-osrs	17/10/2017	673	These 7 Shops in OSRS Can Make you Bank! Oldschool Runescape Money Making Method [OSRS]
how-you-can-make-1-5m-per-day-in-10-mins-low-requirements	18/12/2017	672	How YOU Can Make 1.5M Per Day IN 10 MINS!! LOW REQUIREMENTS!!
osrs-how-to-flip-from-a-100k-cash-start-episode-28-a-one-hour-flipping-challenge	02/04/2017	671	[OSRS] How to Flip From a 100k Cash Start [Episode #28] A One Hour Flipping Challenge
